epoch,acc,binary_accuracy,loss,val_acc,val_binary_accuracy,val_loss
0,0.5249,0.5249,0.7138319158554077,0.54375,0.54375,0.6920389366149903
1,0.5412,0.5412,0.6906565641403198,0.507,0.507,0.7325856609344482
2,0.5742,0.5742,0.6832611011505128,0.5855,0.5855,0.6665020666122436
3,0.5861,0.5861,0.6709229413986206,0.63375,0.63375,0.6510223336219788
4,0.5969,0.5969,0.668597513961792,0.609,0.609,0.6540311703681946
5,0.611,0.611,0.6585546440124511,0.632,0.632,0.6390500817298889
6,0.6176,0.6176,0.6513403166770935,0.671,0.671,0.6384919366836548
7,0.6361,0.6361,0.638079978942871,0.68025,0.68025,0.5991113567352295
8,0.6528,0.6528,0.6348610759735107,0.62875,0.62875,0.6359187693595886
9,0.6656,0.6656,0.6116851289749146,0.68725,0.68725,0.5912274589538574
10,0.6804,0.6804,0.6034124124526977,0.68225,0.68225,0.6127937211990356
11,0.6914,0.6914,0.5991590885162353,0.63025,0.63025,0.7187444953918457
12,0.6925,0.6925,0.5923838781356812,0.546,0.546,0.8134985084533691
13,0.7095,0.7095,0.5648668660163879,0.699,0.699,0.5775428647994996
14,0.7185,0.7185,0.5491588290214539,0.7065,0.7065,0.5622924566268921
15,0.7227,0.7227,0.5493024002075195,0.6815,0.6815,0.5864753742218017
16,0.7226,0.7226,0.5432052612304688,0.70125,0.70125,0.5638383994102478
17,0.7251,0.7251,0.5446668138504028,0.67075,0.67075,0.5950699639320374
18,0.7304,0.7304,0.5381202089309692,0.70225,0.70225,0.5669551105499268
19,0.7277,0.7277,0.5396656902313233,0.70075,0.70075,0.5665022478103637
